Fecha,Localidad,Latitud,Longitud,Víctima de la agresión,Candidatura ,Cargo ,Fuerza polítca del agredido(a),Presunto agresor denunciado,Fuerza politica del agresor(a) ,Tipo de agresión,Descripción,Intervención autoridades,Fuente,URL de la fuente 
25/05/2024,Huautla de Jiménez ,1.813.108,-9.684.314,Bernardino Martínez ,Presidente municipal ,N/A,Morena,N/A,N/A,Agresión física ,"Bernardino Martínez García, candidato de Morena a la presidencia de Huautla de Jiménez fue golpeado junto a su asistente de seguridad. ",N/A,Eje Central ,https://www.ejecentral.com.mx/category/nuestro-eje/atacan-a-bernardino-martinez-candidato-de-morena-en-huautla-de-jimenez-oaxaca
25/05/2024,Santiago Huxtlahuaca,1.733.385,-9.801.067,Abraham Molina,N/A,Funcionario electoral,N/A,Manuel Alejandro Leyva,PVEM,Agresión física y amenazas,"Abraham Molina Maldonado, presidente del IEEPCO en Juxtlahuaca, Oaxaca fue agredido físicamente y amenazado cuando realizaba una inspección sobre propaganda indebida del PVEM. El agresor fue identificado como Manuel Alejandro Leyva, hijo del candidato verde a la alcaldía de ese municipio, Víctor Leyva. ",N/A,El Universal,https://oaxaca.eluniversal.com.mx/politica/agreden-al-presidente-del-consejo-municipal-electoral-en-juxtlahuaca-en-la-mixteca-de
25/05/2024,Ocuilan,1.897.817,-9.941.712,Wilfrido Pérez Segura,Presidente Municipal ,N/A,PRD,N/A,N/A,Agresión,"Wilfrido Pérez Segura, candidato del PRD a la alcaldía de Ocuilan, Edomex, denunció un ataque en su contra cuando circulaba con su equipo de campaña sobre la carretera a Santiago Tianguistenco.",Sï,Facebook/Wilfrido Pérez Segura,https://www.facebook.com/WilfridoPerezOcuilan/posts/pfbid02iaWJ6kHGPrejtDwNS33WVqkFGz7D4c8RahSoFvFPkKSNmoEJEznhXFCdkbiYMidBl
25/05/2024,Tultitlán,1.964.556,-9.916.892,Marcely Lira,Diputada local,N/A,MC,N/A,N/A,Amenazas,"Marcely Lira, candidata a diputada local en el Edomex, por MC, denunció que hombres armados la intimidaron en Tultitlán para que renunciara a la candidatura. ",N/A,Infobae,https://www.infobae.com/mexico/2024/05/26/candidata-de-mc-a-diputada-local-en-edomex-denuncia-que-fue-amenazada-por-hombres-armados/
25/05/2024,Simojovel,1.714.057,-9.271.089,Manuel Pérez Sánchez,N/A,Militante,Morena,N/A,N/A,Asesinato,"Manuel Pérez Sánchez, integrante de Morena en Simojovel, Chiapas, fue asesinado por sujetos que irrumpieron en su casa y también agredieron a su esposa. ",N/A,WRadio,https://wradio.com.mx/2024/05/25/asesinan-a-manuel-perez-sanchez-lider-de-morena-en-simojovel-chiapas/
26/05/2024,Ecatepec,1.956.711,-9.904.451,Carmen de León Martínez,Diputado federal,N/A,PRI,N/A,N/A,Amenazas,"Carmen de León Martínez, candidata del PRI a diputada federal por el Distrito 10, fue agredida con arma de fuego junto con su equipo de campaña en Ecatepec, Estado de México.",N/A,La Jornada,https://www.jornada.com.mx/noticia/2024/05/26/estados/agreden-a-candidata-a-diputada-federal-por-el-pri-en-ecatepec-1192
26/05/2024,Temantla,1.920.176,-9.887.211,César Alejandro Martínez Pacheco,,Coordinador de Prensa,Morena,N/A,N/A,Asesinato,"César Alejandro Martínez Pacheco, coordinador de prensa de Morena en Temamatla, Estado de México, fue asesinado",N/A,Milenio,https://www.milenio.com/policia/asesinan-a-alejandro-martinez-coordinador-de-campana-en-temamatla
26/05/2024,Cochoapa,1.672.099,-9.837.305,Albino Gómez Vázquez,Presidente Municipal,N/A,Morena,N/A,N/A,Secuestro,"Albino Gómez Vázquez, candidato de Morena a la alcaldía de Cochoapa, Guerrero, fue secuestrado durante un atentado que tuvo lugar en su cierre de campaña y permaneció en calidad de desaparecido por varias horas. En el ataque armado perdió la vida su coordinador, Felipe Chávez. El candidato de Morena fue localizado con vida el 27 de mayo. ",N/A,El Sur de Guerrero,https://suracapulco.mx/suspende-campana-candidato-de-cochoapa-tras-atentado/
26/05/2024,Cochoapa,1.672.099,-9.837.305,Felipe Chávez,N/A,Coordinador   ,Morena,N/A,N/A,Asesinato,"Albino Gómez Vázquez, candidato de Morena a la alcaldía de Cochoapa, Guerrero, fue secuestrado durante un atentado que tuvo lugar en su cierre de campaña y permaneció en calidad de desaparecido por varias horas. En el ataque armado perdió la vida su coordinador, Felipe Chávez. El candidato de Morena fue localizado con vida el 27 de mayo. ",N/A,El Sur de Guerrero,https://suracapulco.mx/suspende-campana-candidato-de-cochoapa-tras-atentado/
26/05/2024,Pénjamo,2.043.135,-10.172.405,Carlos Gerardo Molina Herrera,N/A,Consejero,Morena,N/A,N/A,Asesinato,"Carlos Gerardo Molina Herrera, consejero estatal de Morena en Guanajuato y padre de Yozajamby Molina, candidata a la alcaldía de Pénjamo, fue asesinado en dicha localidad. ",N/A,Aristegui Noticias,https://aristeguinoticias.com/2605/mexico/asesinan-a-padre-de-candidata-de-morena-en-penjamo-guanajuato/
